id	year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour	name
204910	2013	5	13	1255.0	1301	-6.0	1411.0	1423	-12.0	EV	4132	N24103	EWR	RIC	54.0	277	13	1	2013-05-13 13:00:00	ExpressJet Airlines Inc.
266884	2013	7	18	1405.0	1359	6.0	1634.0	1650	-16.0	UA	1211	N35271	EWR	LAX	294.0	2454	13	59	2013-07-18 13:00:00	United Air Lines Inc.
272283	2013	7	24	755.0	755	0.0	1006.0	950	16.0	US	1733	N151UW	LGA	CLT	87.0	544	7	55	2013-07-24 07:00:00	US Airways Inc.
275121	2013	7	26	2301.0	2305	-4.0	13.0	13	0.0	B6	718	N328JB	JFK	BOS	40.0	187	23	5	2013-07-26 23:00:00	JetBlue Airways
79490	2013	11	26	1348.0	1348	0.0	1444.0	1453	-9.0	UA	204	N415UA	EWR	BOS	37.0	200	13	48	2013-11-26 13:00:00	United Air Lines Inc.
179986	2013	4	16	1758.0	1800	-2.0	2111.0	2125	-14.0	UA	1645	N24202	EWR	SAT	231.0	1569	18	0	2013-04-16 18:00:00	United Air Lines Inc.
20619	2013	1	24	1645.0	1615	30.0	1833.0	1815	18.0	9E	3387	N914XJ	JFK	RDU	69.0	427	16	15	2013-01-24 16:00:00	Endeavor Air Inc.
259952	2013	7	11	1045.0	1025	20.0	1228.0	1222	6.0	US	604	N678AW	EWR	PHX	264.0	2133	10	25	2013-07-11 10:00:00	US Airways Inc.
98181	2013	12	17	1001.0	1000	1.0	1333.0	1335	-2.0	DL	469	N702TW	JFK	SFO	347.0	2586	10	0	2013-12-17 10:00:00	Delta Air Lines Inc.
262296	2013	7	13	1822.0	1645	97.0	1924.0	1816	68.0	9E	4013	N8751D	JFK	PHL	27.0	94	16	45	2013-07-13 16:00:00	Endeavor Air Inc.
120283	2013	2	11	1436.0	1445	-9.0	1611.0	1606	5.0	9E	3452	N917XJ	JFK	BOS	41.0	187	14	45	2013-02-11 14:00:00	Endeavor Air Inc.
98400	2013	12	17	1525.0	1441	44.0	1812.0	1712	60.0	UA	1554	N39728	EWR	ATL	116.0	746	14	41	2013-12-17 14:00:00	United Air Lines Inc.
201998	2013	5	10	726.0	730	-4.0	1017.0	1050	-33.0	AA	33	N320AA	JFK	LAX	323.0	2475	7	30	2013-05-10 07:00:00	American Airlines Inc.
16553	2013	1	20	624.0	630	-6.0	829.0	843	-14.0	US	1575	N125UW	LGA	CLT	95.0	544	6	30	2013-01-20 06:00:00	US Airways Inc.
258545	2013	7	9	2156.0	2059	57.0	2350.0	2312	38.0	EV	4370	N17159	EWR	CHS	84.0	628	20	59	2013-07-09 20:00:00	ExpressJet Airlines Inc.
138258	2013	3	3	1117.0	1120	-3.0	1244.0	1256	-12.0	EV	3268	N12167	EWR	RDU	66.0	416	11	20	2013-03-03 11:00:00	ExpressJet Airlines Inc.
3926	2013	1	5	1239.0	1245	-6.0	1339.0	1350	-11.0	AA	1850	N3FHAA	JFK	BOS	40.0	187	12	45	2013-01-05 12:00:00	American Airlines Inc.
277032	2013	7	29	759.0	805	-6.0	937.0	950	-13.0	9E	3611	N835AY	JFK	PIT	64.0	340	8	5	2013-07-29 08:00:00	Endeavor Air Inc.
212656	2013	5	21	1708.0	1610	58.0	1827.0	1807	20.0	9E	3400	N937XJ	JFK	MKE	110.0	745	16	10	2013-05-21 16:00:00	Endeavor Air Inc.
174368	2013	4	10	1802.0	1802	0.0	2238.0	2138	60.0	UA	1462	N14228	EWR	SFO	414.0	2565	18	2	2013-04-10 18:00:00	United Air Lines Inc.
313582	2013	9	5	1858.0	1700	118.0	2106.0	1945	81.0	AA	45	N5CDAA	JFK	LAS	283.0	2248	17	0	2013-09-05 17:00:00	American Airlines Inc.
218126	2013	5	27	1908.0	1430	278.0	2017.0	1555	262.0	EV	5699	N909EV	LGA	IAD	44.0	229	14	30	2013-05-27 14:00:00	ExpressJet Airlines Inc.
96417	2013	12	15	1355.0	1345	10.0	1642.0	1640	2.0	UA	1416	N59053	EWR	IAH	202.0	1400	13	45	2013-12-15 13:00:00	United Air Lines Inc.
13387	2013	1	16	1052.0	1055	-3.0	1412.0	1405	7.0	AA	739	N3GAAA	LGA	DFW	225.0	1389	10	55	2013-01-16 10:00:00	American Airlines Inc.
149179	2013	3	14	1923.0	1859	24.0	2153.0	2125	28.0	FL	645	N607AT	LGA	ATL	106.0	762	18	59	2013-03-14 18:00:00	AirTran Airways Corporation
307676	2013	8	30	729.0	735	-6.0	1012.0	1035	-23.0	AA	1713	N3GCAA	LGA	MIA	141.0	1096	7	35	2013-08-30 07:00:00	American Airlines Inc.
298741	2013	8	20	1722.0	1725	-3.0	1919.0	1935	-16.0	DL	2331	N928DL	LGA	DTW	77.0	502	17	25	2013-08-20 17:00:00	Delta Air Lines Inc.
211	2013	1	1	946.0	959	-13.0	1146.0	1202	-16.0	EV	4175	N15912	EWR	AVL	105.0	583	9	59	2013-01-01 09:00:00	ExpressJet Airlines Inc.
206665	2013	5	15	911.0	900	11.0	1130.0	1126	4.0	UA	1643	N17104	EWR	DEN	211.0	1605	9	0	2013-05-15 09:00:00	United Air Lines Inc.
