id	year	month	day	dep_time	sched_dep_time	dep_delay	arr_time	sched_arr_time	arr_delay	carrier	flight	tailnum	origin	dest	air_time	distance	hour	minute	time_hour	name
21945	2013	1	26	736.0	730	6.0	1028.0	1045	-17.0	UA	1641	N14731	LGA	IAH	210.0	1416	7	30	2013-01-26 07:00:00	United Air Lines Inc.
93062	2013	12	11	1540.0	1545	-5.0	1846.0	1920	-34.0	AA	133	N335AA	JFK	LAX	333.0	2475	15	45	2013-12-11 15:00:00	American Airlines Inc.
264293	2013	7	15	2008.0	1935	33.0	2249.0	2302	-13.0	DL	87	N6707A	JFK	SLC	241.0	1990	19	35	2013-07-15 19:00:00	Delta Air Lines Inc.
134153	2013	2	26	1854.0	1345	309.0	2018.0	1520	298.0	WN	2963	N711HK	LGA	MDW	114.0	725	13	45	2013-02-26 13:00:00	Southwest Airlines Co.
36473	2013	10	11	552.0	600	-8.0	658.0	659	-1.0	US	2167	N750UW	LGA	DCA	48.0	214	6	0	2013-10-11 06:00:00	US Airways Inc.
26031	2013	1	30		1935			2145		9E	3899		JFK	CLE		425	19	35	2013-01-30 19:00:00	Endeavor Air Inc.
279020	2013	7	31	748.0	750	-2.0	1019.0	1030	-11.0	AA	715	N437AA	LGA	DFW	189.0	1389	7	50	2013-07-31 07:00:00	American Airlines Inc.
199286	2013	5	7	1024.0	1030	-6.0	1310.0	1340	-30.0	AA	19	N339AA	JFK	LAX	307.0	2475	10	30	2013-05-07 10:00:00	American Airlines Inc.
84126	2013	12	1	2219.0	2159	20.0	2333.0	2307	26.0	9E	3525	N933XJ	LGA	SYR	38.0	198	21	59	2013-12-01 21:00:00	Endeavor Air Inc.
104169	2013	12	23	1733.0	1600	93.0	1925.0	1802	83.0	EV	4381	N34111	EWR	DTW	91.0	488	16	0	2013-12-23 16:00:00	ExpressJet Airlines Inc.
170845	2013	4	7	728.0	729	-1.0	1011.0	1039	-28.0	UA	1591	N36444	EWR	IAH	204.0	1400	7	29	2013-04-07 07:00:00	United Air Lines Inc.
237561	2013	6	17	1413.0	1415	-2.0	1614.0	1619	-5.0	B6	1275	N324JB	JFK	CHS	93.0	636	14	15	2013-06-17 14:00:00	JetBlue Airways
168083	2013	4	4	625.0	630	-5.0	859.0	925	-26.0	UA	707	N443UA	EWR	MCO	137.0	937	6	30	2013-04-04 06:00:00	United Air Lines Inc.
1270	2013	1	2	1320.0	1325	-5.0	1513.0	1505	8.0	MQ	4475	N730MQ	LGA	RDU	89.0	431	13	25	2013-01-02 13:00:00	Envoy Air
316670	2013	9	9	1151.0	1156	-5.0	1414.0	1441	-27.0	UA	1519	N13110	EWR	MCO	117.0	937	11	56	2013-09-09 11:00:00	United Air Lines Inc.
188078	2013	4	25	910.0	910	0.0	1311.0	1235	36.0	VX	407	N635VA	JFK	LAX	355.0	2475	9	10	2013-04-25 09:00:00	Virgin America
286164	2013	8	7	1500.0	1500	0.0	1652.0	1653	-1.0	US	802	N191UW	EWR	CLT	75.0	529	15	0	2013-08-07 15:00:00	US Airways Inc.
120472	2013	2	11	1831.0	1830	1.0	2151.0	2148	3.0	UA	1165	N77258	EWR	LAX	338.0	2454	18	30	2013-02-11 18:00:00	United Air Lines Inc.
312299	2013	9	4	1421.0	1428	-7.0	1529.0	1548	-19.0	EV	5712	N830AS	JFK	IAD	46.0	228	14	28	2013-09-04 14:00:00	ExpressJet Airlines Inc.
149878	2013	3	15	1520.0	1510	10.0	1833.0	1818	15.0	UA	1600	N14115	EWR	LAX	345.0	2454	15	10	2013-03-15 15:00:00	United Air Lines Inc.
231973	2013	6	11	1539.0	1540	-1.0	1741.0	1811	-30.0	UA	1107	N26226	EWR	DEN	218.0	1605	15	40	2013-06-11 15:00:00	United Air Lines Inc.
263033	2013	7	14	1611.0	1610	1.0	1748.0	1810	-22.0	EV	5461	N398CA	LGA	RDU	67.0	431	16	10	2013-07-14 16:00:00	ExpressJet Airlines Inc.
314074	2013	9	6	1109.0	1115	-6.0	1435.0	1428	7.0	9E	3493	N927XJ	LGA	SRQ	153.0	1047	11	15	2013-09-06 11:00:00	Endeavor Air Inc.
27228	2013	10	1	845.0	825	20.0	1008.0	1015	-7.0	9E	3868	N8709A	JFK	RDU	62.0	427	8	25	2013-10-01 08:00:00	Endeavor Air Inc.
148113	2013	3	13	1758.0	1805	-7.0	1938.0	1955	-17.0	MQ	4626	N514MQ	LGA	CMH	74.0	479	18	5	2013-03-13 18:00:00	Envoy Air
201062	2013	5	9	808.0	810	-2.0	938.0	936	2.0	B6	1204	N328JB	JFK	BUF	54.0	301	8	10	2013-05-09 08:00:00	JetBlue Airways
75092	2013	11	21	1629.0	1630	-1.0	1931.0	1947	-16.0	DL	1394	N3754A	JFK	PDX	341.0	2454	16	30	2013-11-21 16:00:00	Delta Air Lines Inc.
76490	2013	11	23	703.0	700	3.0	1037.0	1015	22.0	VX	399	N638VA	JFK	LAX	355.0	2475	7	0	2013-11-23 07:00:00	Virgin America
34485	2013	10	8	2233.0	2245	-12.0	2339.0	2353	-14.0	B6	234	N318JB	JFK	BTV	45.0	266	22	45	2013-10-08 22:00:00	JetBlue Airways
164524	2013	3	31	1250.0	1259	-9.0	1432.0	1456	-24.0	US	1459	N543UW	LGA	CLT	84.0	544	12	59	2013-03-31 12:00:00	US Airways Inc.
137303	2013	3	2	744.0	755	-11.0	1058.0	1007	51.0	US	1733	N165US	LGA	CLT	98.0	544	7	55	2013-03-02 07:00:00	US Airways Inc.
325759	2013	9	19	653.0	700	-7.0	1030.0	1023	7.0	UA	347	N589UA	JFK	SFO	334.0	2586	7	0	2013-09-19 07:00:00	United Air Lines Inc.
132094	2013	2	24	1605.0	1610	-5.0	1727.0	1732	-5.0	9E	3885	N813AY	JFK	PHL	28.0	94	16	10	2013-02-24 16:00:00	Endeavor Air Inc.
136234	2013	2	28	2342.0	2352	-10.0	413.0	437	-24.0	B6	739	N656JB	JFK	PSE	193.0	1617	23	52	2013-02-28 23:00:00	JetBlue Airways
259581	2013	7	10		1550			1749		9E	3523		JFK	ORD		740	15	50	2013-07-10 15:00:00	Endeavor Air Inc.
